Card Name,Type,Mana Cost,Color Identity,Powep,Toughness,Abilities/Effects,Rarity,Set/Edition,Scryfall ID
Allied Assault,Instant,{2}{W},['W'],,,"Up to two target creatures each get +X/+X until end of turn, where X is the number of creatures in your party. (Your party consists of up to one each of Cleric, Rogue, Warrior, and Wizard.)",uncommon,znr,340df0d4-9848-4372-9f45-a73a8e94058a
Aven Riftwatcher,Creature — Bird Rebel Soldier,{2}{W},['W'],2,3,"Flying
Vanishing 3 (This creature enters with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)
When Aven Riftwatcher enters or leaves the battlefield, you gain 2 life.",common,tsr,261691c8-371d-49b6-9c9b-50ece5984aa2
Azorius Arrester,Creature — Human Soldier,{1}{W},['W'],2,1,"When Azorius Arrester enters, detain target creature an opponent controls. (Until your next turn, that creature can't attack or block and its activated abilities can't be activated.)",common,clu,c737cd7a-e1ef-4a74-9e85-b56ea06b05d7
Armory Guard,Creature — Giant Soldier,{3}{W},['W'],2,5,Armory Guard has vigilance as long as you control a Gate.,common,rvr,322fdd11-7874-46f6-adc5-051119a6c978
Auramancer,Creature — Human Wizard,{2}{W},['W'],2,2,"When Auramancer enters, you may return target enchantment card from your graveyard to your hand.",common,dmr,ffe359e9-2ac8-48ae-9a43-e2f12fd4a785
Amrou Scout,Creature — Kithkin Rebel Scout,{1}{W},['W'],2,1,"{4}, {T}: Search your library for a Rebel permanent card with mana value 3 or less, put it onto the battlefield, then shuffle.",common,tsr,da2b6d3a-15e7-4305-9384-3635159cb421
Armored Warhorse,Creature — Horse,{W}{W},['W'],2,3,,common,m12,52daf505-d436-4ea6-a157-4268af2ff7a8
Angelic Purge,Sorcery,{2}{W},['W'],,,"As an additional cost to cast this spell, sacrifice a permanent.
Exile target artifact, creature, or enchantment.",common,soi,d38bae3e-95f3-413a-bb4d-6a0814112a7a
Ajani's Presence,Instant,{W},['W'],,,"Strive — This spell costs {2}{W} more to cast for each target beyond the first.
Any number of target creatures each get +1/+1 and gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)",common,jou,e77e2fd5-5c46-4f6b-ac43-ec23fab57a1a
Alabaster Mage,Creature — Human Wizard,{1}{W},['W'],2,1,{1}{W}: Target creature you control gains lifelink until end of turn. (Damage dealt by the creature also causes its controller to gain that much life.),common,2xm,0ef65e86-3759-465d-862b-29516eed46e6
Abzan Guide,Creature — Human Warrior,{3}{W}{B}{G},"['B', 'G', 'W']",4,4,"Lifelink (Damage dealt by this creature also causes you to gain that much life.)
Morph {2}{W}{B}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",common,ktk,1b7f7158-4a31-4a1c-bf3b-574c0b09276a
Aviary Mechanic,Creature — Dwarf Artificer,{1}{W},['W'],2,2,"When Aviary Mechanic enters, you may return another permanent you control to its owner's hand.",common,kld,b97b0767-4308-4e5d-bc12-6cf8d8724797
Abzan Skycaptain,Creature — Bird Soldier,{3}{W},['W'],2,2,"Flying
When Abzan Skycaptain dies, bolster 2. (Choose a creature with the least toughness among creatures you control and put two +1/+1 counters on it.)",common,frf,c4195373-e902-4fc3-aead-1f6e728dbbae
Bound by Moonsilver,Enchantment — Aura,{2}{W},['W'],,,"Enchant creature
Enchanted creature can't attack, block, or transform.
Sacrifice another permanent: Attach Bound by Moonsilver to target creature. Activate only as a sorcery and only once each turn.",uncommon,soi,7bdf107d-eb67-421c-a7a9-b3e62e03f766
Bonds of Faith,Enchantment — Aura,{1}{W},['W'],,,"Enchant creature
Enchanted creature gets +2/+2 as long as it's a Human. Otherwise, it can't attack or block.",common,ddq,cc5dbb93-63a2-478e-b874-1fdf3a03cbff
